lon,lat,label,name,date,lbi_mean,lbi_max,hit_frac,n_px
-102.866724,31.59991,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.284449,32.344049,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.54933,31.983931,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.81239,31.43572,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.248566,31.802934,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.592085,32.022368,caliche,,2023-07-15,0.0,0.0,0.0,65536
-104.119929,31.809431,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.716021,32.158536,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.804087,32.299013,caliche,,2023-07-15,0.0,0.0,0.0,65536
-104.047649,31.291572,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.425639,31.927776,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.559108,31.205853,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.495595,31.37008,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.427265,31.855196,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.979442,31.808774,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.653234,32.265118,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.656584,31.981049,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.548139,31.564522,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.184176,31.439996,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.304042,32.027424,caliche,,2023-07-15,0.0,0.0,0.0,65536
-104.071489,31.645771,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.154869,32.344925,caliche,,2023-07-15,0.0,0.0,0.0,65536
-104.069229,31.327101,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.464619,32.263237,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.525278,32.193051,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.13599,31.255071,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.673703,31.964602,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.373215,32.333403,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.239975,31.06017,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.726122,31.439192,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.210326,32.270609,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.876983,31.200057,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.962837,31.769191,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.442103,31.836279,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.039522,31.314677,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.30215,31.393179,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.761125,32.226937,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.634773,31.169988,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.965736,31.409684,caliche,,2023-07-15,0.0,0.0,0.0,65536
-104.288831,32.052455,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.293093,31.390542,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.965123,31.767185,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.952786,31.062571,caliche,,2023-07-15,0.0,0.0,0.0,65536
-104.062982,32.198038,caliche,,2023-07-15,0.0,0.0,0.0,65536
