lon,lat,date,APEX,FBC,HPWI,PWI,LBI,TRI,BPI,VSI,CMA,PHI,HMI,NDSI,NDVI,BSI,NDWI,IronRatio,B02,B03,B04,B05,B07,B08,B8A,B11,B12
-102.53169,31.391564,2023-07-15,0.6357157820539125,1.0,0.5191678886773619,1.0,0.0,0.004760794140830888,0.08229375793947916,0.11934492907559988,0.0,0.04911381920230587,0.0,0.08368082877950915,0.16206395254090725,0.2425609433308682,-0.5032737372706486,1.9226412504374237,0.1023376770897355,0.1383700104871642,0.19675863944667035,0.22901452361384117,0.26657750573190514,0.2728682253798507,0.2908235765903574,0.4187578116934688,0.3540856318231854
-102.458554,32.21717,2023-07-15,0.30991480352264333,1.0,0.27832757348637865,1.0,0.0,0.0005185995222188395,0.05882213528171813,0.11735528955303524,0.0,0.028613826889793886,0.0,0.060660986901509555,0.13460052240000855,0.27492174444636497,-0.527905230874795,1.8822804598214142,0.10688058782204746,0.13920467551759005,0.20117924199166654,0.22991002481671866,0.2595388931301848,0.26376035457383185,0.2869783644771383,0.4505272368928665,0.39899441508942024
-103.041888,31.335117,2023-07-15,0.0,1.0,0.0,1.0,0.0458824296795031,0.0,0.00881314489418617,0.04791581285143437,0.0,0.0037101911077611228,0.0,0.049325615431577256,0.09891315383576886,0.17625965772702207,-0.35358204687420436,1.6278692800273058,0.18662950153600463,0.23484277662305486,0.30380843229727084,0.33712854839836737,0.3665515363013601,0.3705071091858395,0.38684147781532097,0.4917545447770006,0.4455227646590162
-101.157757,31.712384,2023-07-15,0.8111180951197646,1.0,0.6624131110144744,1.0,0.02831395033136981,0.0020812471030388236,0.09916900060580253,0.12744282945178056,0.005480783740335814,0.07807605873244089,0.05344899658070764,0.10405774694692232,0.17323429607440607,0.2110382516241816,-0.4610127661394645,1.6087559338521293,0.1254081040484608,0.15870957329343524,0.20175103154110657,0.23660798912260078,0.280102630546023,0.2862978330481374,0.30999529703876894,0.4302081721480154,0.3491136945526721
-104.013635,31.111251,2023-07-15,0.4920541006732523,1.0,0.4018441822164893,1.0,0.05424555318203145,0.00028130205567793707,0.04524177574272968,0.08711642071897088,0.0,0.03031647621828091,0.0,0.08353498535483647,0.14381832679244072,0.18837497270402706,-0.3993423885896347,1.6283726292337604,0.15544271085752895,0.20157353027684438,0.2531186557742976,0.2903396607423463,0.33442516166837677,0.338154583761479,0.3566883845078334,0.4696026154929316,0.39719471332455175
-103.954605,31.86568,2023-07-15,0.0,1.0,0.0,0.8439724739168235,0.03377991438141368,0.0,0.00353276305583596,0.037761903579314866,0.0,0.002367479158999611,0.0,0.0366219610087878,0.0964592869965379,0.19221869013032458,-0.36722582321701763,1.737868735333046,0.1695502258693296,0.22369239473619054,0.29465603660696416,0.33084523911293373,0.359902882598365,0.35756921980123296,0.3752325315103897,0.4833288553199999,0.4491786035218885
-101.80495,31.598808,2023-07-15,0.25683717261812233,1.0,0.20975035763813327,1.0,0.039826978431006424,5.7556948464626454e-05,0.02534835241935078,0.05564275136717199,0.0,0.015131220964614217,0.0,0.06336841926165399,0.1474010861678527,0.18317967919462927,-0.3993943376337405,1.6832645800123212,0.16079685055035584,0.2102504608621989,0.2706636431089487,0.31191121116171205,0.36207959297735165,0.36425070810082716,0.38581841595851046,0.4898776732411543,0.4314919374555769
-104.099888,31.546105,2023-07-15,0.21563486313255864,1.0,0.17610180489158955,1.0,0.06032314860499286,8.778719132272267e-06,0.01646203749141983,0.0680120046274091,0.0,0.007156258786493348,0.0,0.05852998748093372,0.09132508473646511,0.19395125815603345,-0.3538009876238661,1.6742283754737495,0.18130324406445048,0.24105108641219922,0.3035430357781456,0.3397805983643123,0.36826763321073486,0.36455736113907694,0.3817172700059987,0.5050072695912614,0.44915987836657123
-101.162218,31.737849,2023-07-15,0.7699036099994608,1.0,0.6287546148328931,1.0,0.030168649837240588,0.0017498421167355777,0.0924715333265412,0.11984394090339387,0.0044046403171216835,0.07311549070055033,0.045044315527824584,0.10224678726657671,0.17471899743241048,0.20614279703097732,-0.45664130527432745,1.6033663034288954,0.12245416721213934,0.1545524414899563,0.1963388854223917,0.23034095010257205,0.2740039763455093,0.27947210455931887,0.30155475478523286,0.4143256973534305,0.3374582082833504
-101.241103,32.169014,2023-07-15,0.5762613357097018,1.0,0.4706134241629231,1.0,0.0333260347534916,0.0027976668514514713,0.05322942437893132,0.03852592417277294,0.011787914154034733,0.048898085264346094,0.06382204419557629,0.10062505574043727,0.2170909046162427,0.15842221467444417,-0.4332440318349025,1.8286031640350018,0.10173235021943637,0.13922440655062293,0.18602809749597826,0.22904297304990087,0.29143179347897713,0.2891946291088089,0.30974442298929866,0.35207842701765635,0.2877006243156757
-104.263835,31.986938,2023-07-15,0.3359419577139543,1.0,0.2743525987997294,1.0,0.04539810189863865,5.464809525685024e-05,0.03542098815259611,0.07803368186874636,0.0,0.021799202459802214,0.0,0.0689487160676093,0.13338957560031087,0.19341212285510165,-0.4017926663255865,1.5577221857544787,0.1624846192131614,0.20359039310960433,0.25310589619220997,0.2895061290603256,0.33162938473310627,0.33102254045229335,0.3558412221009372,0.47707793590962005,0.41553352194341625
-102.152612,31.748061,2023-07-15,0.123874998475912,1.0,0.10116458208866147,1.0,0.044890948904028165,1.2818102255648005e-08,0.01320294859633753,0.06210403437512277,0.0,0.006152938703899538,0.0,0.05024455842634094,0.090377072974972,0.2015297509186324,-0.37815458424592846,1.6886200632678123,0.17902277841983635,0.231196291962077,0.30230145542168363,0.33786613633219315,0.36288927755504236,0.36237276603924023,0.38257706913122785,0.5123849457695554,0.463359116236916
-103.459501,31.88325,2023-07-15,0.15607970057856324,1.0,0.12746508880582663,1.0,0.04177698832172629,2.872577315804234e-06,0.0162361483545624,0.05817747619600176,0.0,0.008189979556222433,0.0,0.05321872520943395,0.10974574643193472,0.19679116569573107,-0.38798065874454146,1.6998996558680768,0.16389679875408056,0.21301020810869828,0.278608111799941,0.3164476313240834,0.35087971163238846,0.34729872477691953,0.36770542589056315,0.48307958432087533,0.4342599440374233
-103.948611,31.615195,2023-07-15,0.297234119823667,1.0,0.24274119785599468,1.0,0.07840393597777467,1.1309112087784881e-05,0.013934087185116463,0.06348782705397296,0.0,0.0038079797804223612,0.0,0.06808366235926841,0.08251309204819084,0.17639800442288778,-0.322114142661701,1.6305382580260073,0.19540706487543785,0.2550578125440112,0.3186186951679714,0.35690985909513984,0.38465564631542215,0.37592788071560906,0.3956884733706803,0.4974518018193538,0.4340329111300842
