lon,lat,label,date,pwci_mean,pwci_max,hit_frac,n_px
-101.592148,31.142115,background,2023-07-15,0.0,0.0,0.0,65536
-103.550285,31.919671,background,2023-07-15,0.0,0.0,0.0,65536
-103.625154,31.222005,background,2023-07-15,0.0,0.0,0.0,65536
-101.35313,31.792356,background,2023-07-15,2.211902341286995e-05,0.05798369273543358,0.00038146972656250157,65536
-102.811086,32.070005,background,2023-07-15,0.0,0.0,0.0,65536
-101.756384,31.297533,background,2023-07-15,0.0,0.0,0.0,65536
-103.994668,31.610367,background,2023-07-15,0.0,0.0,0.0,65536
-102.965727,31.657132,background,2023-07-15,0.0,0.0,0.0,65536
-102.003411,31.925374,background,2023-07-15,0.0,0.0,0.0,65536
-101.19988,31.177943,background,2023-07-15,0.0,0.0,0.0,65536
-103.031743,31.491093,background,2023-07-15,0.0,0.0,0.0,65536
-101.585732,31.373253,background,2023-07-15,0.0,0.0,0.0,65536
-103.700842,31.633198,background,2023-07-15,0.0,0.0,0.0,65536
-102.971073,31.412109,background,2023-07-15,0.0,0.0,0.0,65536
-103.51311,32.250245,background,2023-07-15,0.0,0.0,0.0,65536
-102.904138,32.169754,background,2023-07-15,0.0,0.0,0.0,65536
-102.566475,31.115765,background,2023-07-15,0.0,0.0,0.0,65536
-101.15226,32.136836,background,2023-07-15,0.0,0.0,0.0,65536
-101.247662,32.254277,background,2023-07-15,0.00015916775817004006,0.23161357641220093,0.0012054443359374972,65536
-101.626608,31.266204,background,2023-07-15,2.5999931949627417e-05,0.08519657701253891,0.00030517578124999897,65536
-102.77023,31.327871,background,2023-07-15,0.0,0.0,0.0,65536
-103.036723,31.126226,background,2023-07-15,0.0,0.0,0.0,65536
-103.106235,32.330901,background,2023-07-15,0.0,0.0,0.0,65536
-103.46461,32.069292,background,2023-07-15,0.0,0.0,0.0,65536
-102.866724,31.59991,background,2023-07-15,0.0,0.0,0.0,65536
-101.284449,32.344049,background,2023-07-15,0.00011841446337257357,0.13370239734649658,0.0012207031249999991,65536
-102.54933,31.983931,background,2023-07-15,0.0,0.0,0.0,65536
-103.81239,31.43572,background,2023-07-15,0.0,0.0,0.0,65536
-101.248566,31.802934,background,2023-07-15,2.5537779038131804e-05,0.08368219435214996,0.0003051757812500005,65536
-102.592085,32.022368,background,2023-07-15,0.0,0.0,0.0,65536
-104.119929,31.809431,background,2023-07-15,0.0,0.0,0.0,65536
-102.716021,32.158536,background,2023-07-15,0.0,0.0,0.0,65536
-103.804087,32.299013,background,2023-07-15,0.0,0.0,0.0,65536
-104.047649,31.291572,background,2023-07-15,0.0,0.0,0.0,65536
-102.425639,31.927776,background,2023-07-15,0.0,0.0,0.0,65536
-103.559108,31.205853,background,2023-07-15,0.0,0.0,0.0,65536
-101.495595,31.37008,background,2023-07-15,0.0,0.0,0.0,65536
-102.427265,31.855196,background,2023-07-15,0.0,0.0,0.0,65536
-102.979442,31.808774,background,2023-07-15,0.0,0.0,0.0,65536
-102.653234,32.265118,background,2023-07-15,8.61323280787475e-05,0.16254180669784546,0.0006866455078124945,65536
-103.656584,31.981049,background,2023-07-15,0.0,0.0,0.0,65536
-103.548139,31.564522,background,2023-07-15,2.0894890440104304e-05,0.068468376994133,0.00030517578124999783,65536
-102.184176,31.439996,background,2023-07-15,0.0,0.0,0.0,65536
-103.304042,32.027424,background,2023-07-15,0.0,0.0,0.0,65536
-104.071489,31.645771,background,2023-07-15,0.0,0.0,0.0,65536
-101.154869,32.344925,background,2023-07-15,0.0,0.0,0.0,65536
-104.069229,31.327101,background,2023-07-15,0.0,0.0,0.0,65536
-103.464619,32.263237,background,2023-07-15,0.0,0.0,0.0,65536
-101.525278,32.193051,background,2023-07-15,0.0,0.0,0.0,65536
-103.13599,31.255071,background,2023-07-15,0.0,0.0,0.0,65536
-101.673703,31.964602,background,2023-07-15,0.0,0.0,0.0,65536
-102.373215,32.333403,background,2023-07-15,0.0,0.0,0.0,65536
-102.239975,31.06017,background,2023-07-15,0.0008048635810951078,0.2297901064157486,0.007308959960937502,65536
-101.726122,31.439192,background,2023-07-15,0.0,0.0,0.0,65536
-102.210326,32.270609,background,2023-07-15,0.0,0.0,0.0,65536
-103.876983,31.200057,background,2023-07-15,0.0,0.0,0.0,65536
-103.962837,31.769191,background,2023-07-15,0.0,0.0,0.0,65536
-103.442103,31.836279,background,2023-07-15,0.0,0.0,0.0,65536
-102.039522,31.314677,background,2023-07-15,0.0,0.0,0.0,65536
-102.30215,31.393179,background,2023-07-15,0.0,0.0,0.0,65536
-102.761125,32.226937,background,2023-07-15,0.0,0.0,0.0,65536
-101.634773,31.169988,background,2023-07-15,0.0,0.0,0.0,65536
-102.965736,31.409684,background,2023-07-15,0.0,0.0,0.0,65536
-104.288831,32.052455,background,2023-07-15,0.0,0.0,0.0,65536
-102.293093,31.390542,background,2023-07-15,0.0,0.0,0.0,65536
-101.965123,31.767185,background,2023-07-15,0.0,0.0,0.0,65536
-102.952786,31.062571,background,2023-07-15,0.0,0.0,0.0,65536
-104.062982,32.198038,background,2023-07-15,0.0,0.0,0.0,65536
