lon,lat,date,B02,B03,B04,B05,B07,B08,B8A,B11,B12
-103.812,31.558,2022-08-24,0.2917558139251921,0.3060776460556601,0.32585509987847977,0.36316858199461394,0.386076688797398,0.3825538701516967,0.3887997341707889,0.3119033680891321,0.29477987048266757
-102.841,31.782,2023-10-31,0.6276993725377902,0.6155614693516294,0.6173555299783362,0.6526818914335326,0.6299422227812146,0.638213939446359,0.627539351191447,0.5304164521071555,0.41589223194023694
-102.864,31.821,2023-02-06,0.7947220577380048,0.7928898085228873,0.7992994153883023,0.7806503093652255,0.7946523257160119,0.8312838100464532,0.7889404413672367,0.20615552849130808,0.22095916909983954
-102.501,31.832,2023-05-23,0.16539753104041163,0.18658972766559087,0.21157571123376231,0.24127215411954292,0.2833968233551302,0.27782813421231517,0.29529073964112973,0.30298328566391236,0.2742484238112857
-102.452,31.801,2022-07-12,0.2328065064315293,0.28972569293250716,0.3551958011014417,0.39579318812593395,0.4094019022745688,0.3951211885323579,0.4219700099120018,0.4913039449011194,0.43054917634617434
-102.738,32.014,2023-11-30,0.11113015908927093,0.15265720985507775,0.20740309457062212,0.23027170587829565,0.25455911839390233,0.27064751022589717,0.27222332266774363,0.3730966916768945,0.3444028854787583
-102.814,31.489,2023-08-14,0.1874189682561088,0.21672274488014598,0.2593432924797987,0.29192907532274553,0.3262331988416922,0.3151662753357409,0.34574445076237154,0.43767761615254436,0.3685053312988211
-102.844,31.461,2022-09-17,0.07921586162729019,0.1167005584916284,0.1616469603659429,0.20112221845329367,0.26975700378329476,0.2723877641722067,0.2894992158937868,0.37453174599932165,0.3096759822424228
-102.348,31.412,2023-06-04,0.13440230732521802,0.17581496253683293,0.2210285369732222,0.26363800841340695,0.33075788706674264,0.34594972238824395,0.3557857512405404,0.452007004151254,0.38494737870587553
-102.372,31.384,2022-04-29,0.13209998496859005,0.17707059339590975,0.25254862096835284,0.291290477284745,0.32578697070448726,0.3335562218703673,0.35435648761631194,0.4846999786191188,0.4234549114948996
-101.842,31.342,2023-09-07,0.14031490036279612,0.1891934829080828,0.23803988629791237,0.2789180373858107,0.3200626384339245,0.32228280157569356,0.34394421385837903,0.43082714435982417,0.37335319678538476
-101.878,31.314,2024-01-22,0.10314781970123521,0.1310846084620615,0.16707182920936378,0.18744227758361434,0.2126640012756999,0.22610184620816626,0.2400568239743285,0.38023236673507577,0.33394953420748125
-102.561,32.278,2023-07-16,0.09537541353063336,0.13190564607771219,0.1929463990475148,0.232404660542215,0.2876093063061938,0.29068625824311506,0.3148679166970358,0.4328231412264359,0.3669876177050332
-102.584,32.241,2022-06-03,0.10947831726491582,0.16541648246152277,0.26506263144824377,0.3040985445443319,0.34653403788751863,0.3470073335067816,0.36965100556654185,0.5146748879319537,0.49958211203102515
-103.142,31.941,2023-12-19,0.0924654695732563,0.13363627933779207,0.19816604771142443,0.21962123266393768,0.2403738705661452,0.2588996519900774,0.25677576172233474,0.38335324349645766,0.3484969556475352
-103.162,31.964,2023-04-28,0.15558468787799118,0.20258619678668072,0.25885285038612205,0.3015906705281859,0.36743335108166914,0.376252834914794,0.38909281145151847,0.4733642885366831,0.42396256257916526
-103.522,31.312,2022-10-11,0.3473518911837355,0.3512157403329221,0.36828530898901457,0.40485080162715875,0.4224204404804345,0.42371392766199134,0.4236643200333676,0.3249049713358546,0.30818613991323324
-103.501,31.289,2023-01-09,0.16178462064954025,0.205416522284849,0.2625940490158878,0.2824149976822812,0.30268399515216404,0.3221903561911876,0.3162682706119991,0.4003725083712175,0.3774739409218419
-102.978,32.112,2023-03-31,0.11199756625023888,0.15495566418849394,0.2200611601051617,0.2522740890158251,0.29227271102968516,0.3039203429564134,0.3136528874592863,0.4548334469836871,0.4126756693494813
-102.952,32.085,2022-02-14,0.107191926615201,0.1399078797962812,0.19687622056108103,0.21761796268220027,0.24881801794572306,0.274852838325159,0.275867151599869,0.39010800727737655,0.3262293874549837
